Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
17.75,0.739583333,31.87,38.06,41.76,44.41,46.49,48.21,49.69,50.97,52.13,53.17,53.65,54.57,55.42,56.21,56.95,57.64,58.3,58.92,59.51,60.35,64.81,70.91,76.18,80.21,86.39,91.14,108.09,122.29,172
18,0.75,32.02,38.22,41.93,44.59,46.68,48.41,49.88,51.17,52.33,53.38,53.86,54.78,55.63,56.43,57.17,57.87,58.53,59.15,59.74,60.58,65.07,71.2,76.5,80.56,86.78,91.55,108.6,122.85,172.64
18.25,0.760416667,32.16,38.38,42.1,44.77,46.86,48.59,50.07,51.37,52.53,53.58,54.06,54.99,55.85,56.64,57.39,58.09,58.75,59.38,59.97,60.81,65.32,71.48,76.82,80.9,87.17,91.97,109.1,123.4,173.27
18.5,0.770833333,32.3,38.53,42.26,44.94,47.04,48.78,50.27,51.57,52.73,53.78,54.27,55.2,56.06,56.86,57.6,58.31,58.97,59.6,60.2,61.04,65.57,71.77,77.14,81.24,87.55,92.38,109.61,123.94,173.9
18.75,0.78125,32.43,38.69,42.43,45.11,47.22,48.96,50.46,51.76,52.93,53.99,54.47,55.4,56.27,57.07,57.82,58.52,59.19,59.82,60.42,61.27,65.82,72.05,77.45,81.58,87.93,92.79,110.1,124.48,174.52
19,0.791666667,32.57,38.84,42.59,45.28,47.4,49.15,50.64,51.95,53.12,54.18,54.67,55.61,56.47,57.28,58.03,58.74,59.41,60.04,60.64,61.49,66.07,72.33,77.76,81.92,88.31,93.2,110.6,125.02,175.13
19.25,0.802083333,32.7,38.99,42.75,45.45,47.57,49.33,50.83,52.14,53.32,54.38,54.87,55.81,56.68,57.48,58.24,58.95,59.62,60.26,60.86,61.72,66.31,72.61,78.07,82.26,88.68,93.61,111.09,125.55,175.74
19.5,0.8125,32.84,39.14,42.9,45.61,47.75,49.51,51.01,52.33,53.51,54.58,55.07,56.01,56.88,57.69,58.45,59.16,59.84,60.48,61.08,61.94,66.55,72.88,78.38,82.59,89.06,94.01,111.58,126.07,176.34
19.75,0.822916667,32.97,39.28,43.06,45.78,47.92,49.68,51.19,52.52,53.7,54.77,55.26,56.21,57.08,57.89,58.65,59.37,60.05,60.69,61.3,62.16,66.8,73.16,78.69,82.92,89.43,94.41,112.06,126.59,176.94
20,0.833333333,33.1,39.43,43.21,45.94,48.09,49.86,51.37,52.7,53.89,54.96,55.46,56.4,57.28,58.1,58.86,59.58,60.26,60.9,61.51,62.38,67.03,73.43,78.99,83.25,89.79,94.8,112.54,127.11,177.53
20.25,0.84375,33.23,39.57,43.37,46.1,48.25,50.03,51.55,52.89,54.08,55.15,55.65,56.6,57.48,58.3,59.06,59.78,60.46,61.11,61.72,62.59,67.27,73.7,79.29,83.57,90.16,95.2,113.01,127.62,178.12
20.5,0.854166667,33.35,39.72,43.52,46.26,48.42,50.2,51.73,53.07,54.26,55.34,55.84,56.79,57.67,58.49,59.26,59.99,60.67,61.32,61.93,62.81,67.51,73.97,79.59,83.9,90.52,95.59,113.48,128.13,178.69
20.75,0.864583333,33.48,39.86,43.67,46.42,48.58,50.37,51.9,53.25,54.45,55.53,56.03,56.98,57.87,58.69,59.46,60.19,60.87,61.52,62.14,63.02,67.74,74.23,79.89,84.22,90.88,95.98,113.95,128.63,179.27
21,0.875,33.6,40,43.82,46.58,48.75,50.54,52.08,53.43,54.63,55.72,56.22,57.17,58.06,58.89,59.66,60.39,61.08,61.73,62.35,63.23,67.97,74.5,80.18,84.54,91.24,96.36,114.41,129.13,179.84
21.25,0.885416667,33.73,40.13,43.96,46.73,48.91,50.71,52.25,53.6,54.81,55.9,56.4,57.36,58.25,59.08,59.86,60.59,61.28,61.93,62.55,63.44,68.2,74.76,80.48,84.86,91.59,96.74,114.87,129.62,180.4
21.5,0.895833333,33.85,40.27,44.11,46.88,49.07,50.88,52.42,53.78,54.99,56.08,56.58,57.55,58.44,59.27,60.05,60.78,61.48,62.13,62.76,63.65,68.43,75.02,80.77,85.18,91.95,97.12,115.33,130.11,180.96
21.75,0.90625,33.97,40.41,44.25,47.04,49.23,51.04,52.59,53.95,55.16,56.26,56.77,57.73,58.63,59.46,60.24,60.98,61.67,62.33,62.96,63.85,68.66,75.28,81.06,85.49,92.3,97.5,115.78,130.59,181.51
22,0.916666667,34.09,40.54,44.4,47.19,49.38,51.2,52.76,54.12,55.34,56.44,56.95,57.92,58.81,59.65,60.43,61.17,61.87,62.53,63.16,64.06,68.89,75.54,81.35,85.8,92.65,97.88,116.23,131.08,182.06
22.25,0.927083333,34.2,40.67,44.54,47.33,49.54,51.36,52.92,54.29,55.51,56.62,57.13,58.1,59,59.84,60.62,61.36,62.06,62.73,63.36,64.26,69.11,75.8,81.63,86.11,92.99,98.25,116.67,131.55,182.6
22.5,0.9375,34.32,40.8,44.68,47.48,49.69,51.52,53.09,54.46,55.69,56.8,57.31,58.28,59.18,60.02,60.81,61.55,62.26,62.92,63.56,64.46,69.33,76.05,81.92,86.42,93.34,98.62,117.11,132.03,183.14
22.75,0.947916667,34.44,40.93,44.82,47.63,49.85,51.68,53.25,54.63,55.86,56.97,57.48,58.46,59.36,60.21,61,61.74,62.45,63.12,63.75,64.66,69.55,76.3,82.2,86.73,93.68,98.99,117.55,132.5,183.68
23,0.958333333,34.55,41.06,44.95,47.77,50,51.84,53.42,54.8,56.03,57.14,57.66,58.64,59.54,60.39,61.18,61.93,62.64,63.31,63.95,64.86,69.77,76.56,82.48,87.03,94.02,99.36,117.99,132.96,184.21
23.25,0.96875,34.67,41.19,45.09,47.92,50.15,52,53.58,54.96,56.2,57.32,57.83,58.81,59.72,60.57,61.37,62.12,62.83,63.5,64.14,65.06,69.99,76.81,82.76,87.34,94.36,99.72,118.42,133.42,184.73
23.5,0.979166667,34.78,41.32,45.22,48.06,50.3,52.15,53.74,55.13,56.37,57.49,58,58.99,59.9,60.75,61.55,62.3,63.01,63.69,64.33,65.25,70.21,77.05,83.04,87.64,94.7,100.08,118.85,133.88,185.25
23.75,0.989583333,34.89,41.44,45.36,48.2,50.45,52.3,53.89,55.29,56.53,57.66,58.17,59.16,60.08,60.93,61.73,62.49,63.2,63.88,64.53,65.45,70.43,77.3,83.32,87.94,95.03,100.44,119.28,134.34,185.77
24,1,35,41.57,45.49,48.34,50.59,52.46,54.05,55.45,56.7,57.83,58.34,59.34,60.25,61.11,61.91,62.67,63.39,64.07,64.72,65.64,70.64,77.55,83.59,88.24,95.36,100.8,119.7,134.79,186.28
24.25,1.010416667,35.11,41.69,45.62,48.48,50.74,52.61,54.21,55.61,56.86,57.99,58.51,59.51,60.43,61.29,62.09,62.85,63.57,64.25,64.91,65.83,70.86,77.8,83.88,88.54,95.7,101.16,120.12,135.24,186.8
24.5,1.020833333,35.22,41.81,45.75,48.62,50.88,52.76,54.36,55.77,57.02,58.16,58.68,59.68,60.6,61.46,62.27,63.03,63.75,64.44,65.09,66.03,71.07,78.05,84.16,88.85,96.04,101.52,120.55,135.7,187.31
24.75,1.03125,35.32,41.93,45.88,48.76,51.02,52.9,54.51,55.92,57.18,58.32,58.84,59.85,60.77,61.64,62.45,63.21,63.94,64.63,65.28,66.22,71.29,78.29,84.43,89.15,96.38,101.88,120.96,136.14,187.82
25,1.041666667,35.43,42.05,46.01,48.89,51.17,53.05,54.66,56.08,57.34,58.48,59.01,60.01,60.94,61.81,62.63,63.39,64.12,64.81,65.47,66.41,71.5,78.54,84.71,89.45,96.71,102.24,121.38,136.59,188.33
25.25,1.052083333,35.54,42.17,46.14,49.03,51.31,53.2,54.81,56.23,57.5,58.65,59.17,60.18,61.11,61.98,62.8,63.57,64.3,64.99,65.66,66.6,71.71,78.78,84.99,89.75,97.05,102.59,121.79,137.03,188.83
