Duration hours,Duration days,1 year rainfall (mm),2 year rainfall (mm),3 year rainfall (mm),4 year rainfall (mm),5 year rainfall (mm),6 year rainfall (mm),7 year rainfall (mm),8 year rainfall (mm),9 year rainfall (mm),10 year rainfall (mm),11 year rainfall (mm),12 year rainfall (mm),13 year rainfall (mm),14 year rainfall (mm),15 year rainfall (mm),16 year rainfall (mm),17 year rainfall (mm),18 year rainfall (mm),19 year rainfall (mm),20 year rainfall (mm),30 year rainfall (mm),50 year rainfall (mm),75 year rainfall (mm),100 year rainfall (mm),150 year rainfall (mm),200 year rainfall (mm),500 year rainfall (mm),1000 year rainfall (mm),10000 year rainfall (mm)
80,3.333333333,50,58.82,64.2,68.17,71.36,74.05,76.38,78.45,80.32,82.03,82.83,84.35,85.78,87.12,88.39,89.59,90.73,91.82,92.86,94.36,102.55,113.97,123.78,131.03,141.47,148.96,172.81,190.74,249.11
80.25,3.34375,50.05,58.87,64.26,68.24,71.43,74.12,76.45,78.53,80.4,82.11,82.91,84.44,85.87,87.21,88.47,89.67,90.82,91.91,92.95,94.45,102.66,114.08,123.89,131.15,141.6,149.09,172.95,190.89,249.27
80.5,3.354166667,50.1,58.93,64.32,68.31,71.5,74.19,76.53,78.6,80.47,82.19,82.99,84.52,85.95,87.29,88.56,89.76,90.91,92,93.05,94.54,102.76,114.19,124.01,131.27,141.72,149.22,173.09,191.03,249.43
80.75,3.364583333,50.15,58.99,64.38,68.37,71.57,74.26,76.6,78.68,80.55,82.27,83.07,84.6,86.03,87.38,88.65,89.85,90.99,92.09,93.14,94.64,102.86,114.3,124.13,131.39,141.85,149.34,173.22,191.17,249.58
81,3.375,50.2,59.04,64.45,68.44,71.64,74.33,76.67,78.75,80.63,82.35,83.15,84.68,86.12,87.46,88.73,89.94,91.08,92.18,93.23,94.73,102.96,114.41,124.24,131.51,141.97,149.47,173.36,191.31,249.74
81.25,3.385416667,50.25,59.1,64.51,68.5,71.71,74.4,76.75,78.83,80.71,82.43,83.23,84.76,86.2,87.55,88.82,90.02,91.17,92.27,93.32,94.82,103.06,114.52,124.36,131.63,142.1,149.6,173.5,191.45,249.9
81.5,3.395833333,50.3,59.16,64.57,68.57,71.77,74.47,76.82,78.9,80.79,82.51,83.31,84.85,86.28,87.63,88.9,90.11,91.26,92.35,93.41,94.91,103.16,114.63,124.48,131.75,142.22,149.73,173.63,191.59,250.05
81.75,3.40625,50.35,59.21,64.63,68.63,71.84,74.54,76.89,78.98,80.86,82.59,83.39,84.93,86.36,87.72,88.99,90.2,91.35,92.44,93.5,95,103.25,114.74,124.59,131.87,142.35,149.85,173.77,191.73,250.21
82,3.416666667,50.39,59.27,64.69,68.7,71.91,74.61,76.97,79.05,80.94,82.67,83.47,85.01,86.45,87.8,89.08,90.28,91.43,92.53,93.59,95.1,103.35,114.85,124.71,131.99,142.47,149.98,173.9,191.87,250.36
82.25,3.427083333,50.44,59.33,64.75,68.76,71.98,74.69,77.04,79.13,81.02,82.74,83.55,85.09,86.53,87.88,89.16,90.37,91.52,92.62,93.68,95.19,103.45,114.95,124.82,132.11,142.59,150.11,174.03,192.01,250.52
82.5,3.4375,50.49,59.38,64.81,68.83,72.05,74.76,77.11,79.2,81.09,82.82,83.63,85.17,86.61,87.97,89.25,90.46,91.61,92.71,93.77,95.28,103.55,115.06,124.94,132.23,142.72,150.23,174.17,192.14,250.67
82.75,3.447916667,50.54,59.44,64.87,68.89,72.11,74.83,77.18,79.28,81.17,82.9,83.7,85.25,86.7,88.05,89.33,90.54,91.7,92.8,93.86,95.37,103.65,115.17,125.05,132.35,142.84,150.36,174.3,192.28,250.82
83,3.458333333,50.59,59.49,64.94,68.96,72.18,74.9,77.26,79.35,81.25,82.98,83.78,85.33,86.78,88.13,89.42,90.63,91.78,92.89,93.95,95.46,103.75,115.28,125.16,132.46,142.96,150.48,174.43,192.42,250.97
83.25,3.46875,50.63,59.55,65,69.02,72.25,74.97,77.33,79.43,81.32,83.06,83.86,85.41,86.86,88.22,89.5,90.72,91.87,92.97,94.04,95.55,103.85,115.39,125.28,132.58,143.08,150.6,174.56,192.55,251.13
83.5,3.479166667,50.68,59.61,65.06,69.08,72.32,75.04,77.4,79.5,81.4,83.14,83.94,85.49,86.94,88.3,89.59,90.8,91.96,93.06,94.12,95.64,103.94,115.49,125.39,132.7,143.2,150.73,174.69,192.69,251.28
83.75,3.489583333,50.73,59.66,65.12,69.15,72.38,75.11,77.47,79.58,81.48,83.21,84.02,85.57,87.02,88.38,89.67,90.89,92.05,93.15,94.21,95.73,104.04,115.6,125.5,132.81,143.32,150.85,174.82,192.83,251.43
84,3.5,50.78,59.72,65.18,69.21,72.45,75.18,77.55,79.65,81.55,83.29,84.1,85.65,87.11,88.47,89.75,90.97,92.13,93.24,94.3,95.82,104.14,115.71,125.62,132.93,143.44,150.98,174.95,192.96,251.58
84.25,3.510416667,50.83,59.77,65.24,69.28,72.52,75.25,77.62,79.73,81.63,83.37,84.18,85.73,87.19,88.55,89.84,91.06,92.22,93.33,94.39,95.91,104.24,115.81,125.73,133.05,143.56,151.1,175.08,193.1,251.73
84.5,3.520833333,50.87,59.83,65.3,69.34,72.58,75.32,77.69,79.8,81.7,83.45,84.26,85.81,87.27,88.63,89.92,91.14,92.3,93.41,94.48,96,104.33,115.92,125.84,133.16,143.68,151.22,175.21,193.23,251.88
84.75,3.53125,50.92,59.88,65.36,69.4,72.65,75.38,77.76,79.87,81.78,83.52,84.33,85.89,87.35,88.72,90.01,91.23,92.39,93.5,94.57,96.09,104.43,116.02,125.95,133.28,143.8,151.34,175.34,193.36,252.02
85,3.541666667,50.97,59.94,65.42,69.47,72.72,75.45,77.83,79.95,81.85,83.6,84.41,85.97,87.43,88.8,90.09,91.31,92.48,93.59,94.66,96.18,104.53,116.13,126.06,133.39,143.92,151.46,175.47,193.5,252.17
85.25,3.552083333,51.02,59.99,65.48,69.53,72.78,75.52,77.9,80.02,81.93,83.68,84.49,86.05,87.51,88.88,90.17,91.4,92.56,93.67,94.74,96.27,104.62,116.24,126.17,133.51,144.04,151.58,175.6,193.63,252.32
85.5,3.5625,51.06,60.05,65.54,69.6,72.85,75.59,77.98,80.09,82.01,83.76,84.57,86.13,87.59,88.96,90.26,91.48,92.65,93.76,94.83,96.36,104.72,116.34,126.29,133.62,144.16,151.71,175.73,193.76,252.47
85.75,3.572916667,51.11,60.1,65.6,69.66,72.92,75.66,78.05,80.17,82.08,83.83,84.65,86.21,87.67,89.05,90.34,91.57,92.73,93.85,94.92,96.45,104.82,116.44,126.4,133.73,144.28,151.83,175.85,193.89,252.61
86,3.583333333,51.16,60.16,65.66,69.72,72.98,75.73,78.12,80.24,82.16,83.91,84.72,86.29,87.75,89.13,90.42,91.65,92.82,93.93,95.01,96.54,104.91,116.55,126.51,133.85,144.4,151.95,175.98,194.03,252.76
86.25,3.59375,51.21,60.21,65.72,69.79,73.05,75.8,78.19,80.31,82.23,83.99,84.8,86.37,87.83,89.21,90.51,91.74,92.9,94.02,95.09,96.62,105.01,116.65,126.62,133.96,144.51,152.07,176.11,194.16,252.91
86.5,3.604166667,51.25,60.27,65.78,69.85,73.12,75.87,78.26,80.39,82.31,84.06,84.88,86.45,87.91,89.29,90.59,91.82,92.99,94.11,95.18,96.71,105.1,116.76,126.73,134.07,144.63,152.18,176.23,194.29,253.05
86.75,3.614583333,51.3,60.32,65.84,69.91,73.18,75.94,78.33,80.46,82.38,84.14,84.96,86.53,87.99,89.37,90.67,91.9,93.07,94.19,95.27,96.8,105.2,116.86,126.83,134.19,144.75,152.3,176.36,194.42,253.2
87,3.625,51.35,60.38,65.9,69.98,73.25,76.01,78.4,80.53,82.46,84.22,85.03,86.61,88.07,89.45,90.75,91.99,93.16,94.28,95.35,96.89,105.29,116.96,126.94,134.3,144.86,152.42,176.48,194.55,253.34
87.25,3.635416667,51.39,60.43,65.96,70.04,73.32,76.07,78.47,80.61,82.53,84.29,85.11,86.69,88.15,89.53,90.84,92.07,93.24,94.36,95.44,96.98,105.39,117.07,127.05,134.41,144.98,152.54,176.61,194.68,253.48
87.5,3.645833333,51.44,60.49,66.02,70.1,73.38,76.14,78.54,80.68,82.61,84.37,85.19,86.76,88.23,89.62,90.92,92.15,93.33,94.45,95.53,97.07,105.48,117.17,127.16,134.52,145.09,152.66,176.73,194.8,253.63
87.75,3.65625,51.49,60.54,66.08,70.16,73.45,76.21,78.61,80.75,82.68,84.45,85.26,86.84,88.31,89.7,91,92.24,93.41,94.53,95.61,97.15,105.58,117.27,127.27,134.63,145.21,152.78,176.86,194.93,253.77
88,3.666666667,51.53,60.6,66.14,70.23,73.51,76.28,78.69,80.82,82.75,84.52,85.34,86.92,88.39,89.78,91.08,92.32,93.5,94.62,95.7,97.24,105.67,117.38,127.38,134.74,145.32,152.89,176.98,195.06,253.91
88.25,3.677083333,51.58,60.65,66.19,70.29,73.58,76.35,78.76,80.9,82.83,84.6,85.42,87,88.47,89.86,91.17,92.4,93.58,94.7,95.79,97.33,105.76,117.48,127.48,134.86,145.44,153.01,177.1,195.19,254.05
88.5,3.6875,51.63,60.71,66.25,70.35,73.64,76.41,78.83,80.97,82.9,84.67,85.49,87.08,88.55,89.94,91.25,92.49,93.67,94.79,95.87,97.41,105.86,117.58,127.59,134.97,145.55,153.13,177.23,195.32,254.19
88.75,3.697916667,51.67,60.76,66.31,70.42,73.71,76.48,78.9,81.04,82.98,84.75,85.57,87.15,88.63,90.02,91.33,92.57,93.75,94.87,95.96,97.5,105.95,117.68,127.7,135.08,145.67,153.24,177.35,195.44,254.33
89,3.708333333,51.72,60.81,66.37,70.48,73.77,76.55,78.97,81.11,83.05,84.82,85.65,87.23,88.71,90.1,91.41,92.65,93.83,94.96,96.04,97.59,106.05,117.78,127.81,135.19,145.78,153.36,177.47,195.57,254.47
89.25,3.71875,51.77,60.87,66.43,70.54,73.84,76.62,79.04,81.18,83.12,84.9,85.72,87.31,88.79,90.18,91.49,92.73,93.92,95.04,96.13,97.68,106.14,117.88,127.91,135.3,145.89,153.47,177.59,195.7,254.61
89.5,3.729166667,51.81,60.92,66.49,70.6,73.9,76.69,79.11,81.26,83.2,84.97,85.8,87.39,88.87,90.26,91.57,92.82,94,95.13,96.21,97.76,106.23,117.99,128.02,135.4,146,153.59,177.71,195.82,254.75
89.75,3.739583333,51.86,60.98,66.55,70.66,73.97,76.75,79.18,81.33,83.27,85.05,85.88,87.46,88.95,90.34,91.65,92.9,94.08,95.21,96.3,97.85,106.33,118.09,128.12,135.51,146.12,153.7,177.83,195.95,254.89
90,3.75,51.91,61.03,66.61,70.73,74.03,76.82,79.25,81.4,83.34,85.12,85.95,87.54,89.03,90.42,91.73,92.98,94.17,95.3,96.38,97.93,106.42,118.19,128.23,135.62,146.23,153.82,177.96,196.07,255.03
90.25,3.760416667,51.95,61.08,66.67,70.79,74.1,76.89,79.31,81.47,83.42,85.2,86.03,87.62,89.1,90.5,91.82,93.06,94.25,95.38,96.47,98.02,106.51,118.29,128.34,135.73,146.34,153.93,178.08,196.19,255.17
90.5,3.770833333,52,61.14,66.72,70.85,74.16,76.96,79.38,81.54,83.49,85.27,86.1,87.7,89.18,90.58,91.9,93.14,94.33,95.46,96.55,98.11,106.6,118.39,128.44,135.84,146.45,154.04,178.19,196.32,255.31
90.75,3.78125,52.04,61.19,66.78,70.91,74.23,77.02,79.45,81.61,83.56,85.35,86.18,87.77,89.26,90.66,91.98,93.23,94.41,95.55,96.64,98.19,106.69,118.49,128.55,135.95,146.56,154.16,178.31,196.44,255.44
91,3.791666667,52.09,61.24,66.84,70.97,74.29,77.09,79.52,81.68,83.64,85.42,86.25,87.85,89.34,90.74,92.06,93.31,94.5,95.63,96.72,98.28,106.79,118.59,128.65,136.05,146.67,154.27,178.43,196.57,255.58
91.25,3.802083333,52.14,61.3,66.9,71.04,74.36,77.16,79.59,81.76,83.71,85.5,86.33,87.93,89.42,90.82,92.14,93.39,94.58,95.71,96.81,98.36,106.88,118.69,128.75,136.16,146.78,154.38,178.55,196.69,255.72
91.5,3.8125,52.18,61.35,66.96,71.1,74.42,77.22,79.66,81.83,83.78,85.57,86.4,88,89.49,90.9,92.22,93.47,94.66,95.8,96.89,98.45,106.97,118.79,128.86,136.27,146.9,154.49,178.67,196.81,255.85
91.75,3.822916667,52.23,61.41,67.02,71.16,74.49,77.29,79.73,81.9,83.85,85.65,86.48,88.08,89.57,90.97,92.3,93.55,94.74,95.88,96.97,98.53,107.06,118.88,128.96,136.37,147,154.61,178.79,196.93,255.99
92,3.833333333,52.27,61.46,67.07,71.22,74.55,77.36,79.8,81.97,83.93,85.72,86.55,88.15,89.65,91.05,92.38,93.63,94.82,95.96,97.06,98.62,107.15,118.98,129.07,136.48,147.11,154.72,178.91,197.05,256.12
92.25,3.84375,52.32,61.51,67.13,71.28,74.62,77.42,79.87,82.04,84,85.8,86.63,88.23,89.73,91.13,92.46,93.71,94.91,96.05,97.14,98.7,107.24,119.08,129.17,136.59,147.22,154.83,179.02,197.18,256.26
92.5,3.854166667,52.37,61.57,67.19,71.34,74.68,77.49,79.94,82.11,84.07,85.87,86.7,88.31,89.8,91.21,92.54,93.79,94.99,96.13,97.22,98.79,107.33,119.18,129.27,136.69,147.33,154.94,179.14,197.3,256.39
92.75,3.864583333,52.41,61.62,67.25,71.41,74.74,77.56,80.01,82.18,84.14,85.94,86.78,88.38,89.88,91.29,92.62,93.87,95.07,96.21,97.31,98.87,107.43,119.28,129.37,136.8,147.44,155.05,179.26,197.42,256.52
93,3.875,52.46,61.67,67.31,71.47,74.81,77.62,80.07,82.25,84.22,86.02,86.85,88.46,89.96,91.37,92.7,93.95,95.15,96.29,97.39,98.96,107.52,119.38,129.48,136.9,147.55,155.16,179.37,197.54,256.66
93.25,3.885416667,52.5,61.73,67.36,71.53,74.87,77.69,80.14,82.32,84.29,86.09,86.93,88.53,90.04,91.45,92.78,94.03,95.23,96.38,97.47,99.04,107.61,119.47,129.58,137.01,147.66,155.27,179.49,197.66,256.79
93.5,3.895833333,52.55,61.78,67.42,71.59,74.94,77.76,80.21,82.39,84.36,86.16,87,88.61,90.11,91.52,92.85,94.12,95.31,96.46,97.56,99.12,107.7,119.57,129.68,137.11,147.76,155.38,179.6,197.78,256.92
93.75,3.90625,52.59,61.83,67.48,71.65,75,77.82,80.28,82.46,84.43,86.24,87.07,88.69,90.19,91.6,92.93,94.2,95.39,96.54,97.64,99.21,107.79,119.67,129.78,137.22,147.87,155.49,179.72,197.89,257.05
94,3.916666667,52.64,61.88,67.54,71.71,75.06,77.89,80.35,82.53,84.5,86.31,87.15,88.76,90.27,91.68,93.01,94.28,95.48,96.62,97.72,99.29,107.88,119.77,129.88,137.32,147.98,155.6,179.83,198.01,257.19
94.25,3.927083333,52.69,61.94,67.59,71.77,75.13,77.95,80.41,82.6,84.58,86.38,87.22,88.84,90.34,91.76,93.09,94.35,95.56,96.7,97.8,99.38,107.97,119.86,129.98,137.42,148.09,155.71,179.95,198.13,257.32
94.5,3.9375,52.73,61.99,67.65,71.83,75.19,78.02,80.48,82.67,84.65,86.46,87.3,88.91,90.42,91.83,93.17,94.43,95.64,96.78,97.89,99.46,108.06,119.96,130.09,137.53,148.19,155.81,180.06,198.25,257.45
94.75,3.947916667,52.78,62.04,67.71,71.89,75.25,78.09,80.55,82.74,84.72,86.53,87.37,88.99,90.5,91.91,93.25,94.51,95.72,96.87,97.97,99.54,108.14,120.05,130.19,137.63,148.3,155.92,180.17,198.37,257.58
95,3.958333333,52.82,62.1,67.77,71.95,75.32,78.15,80.62,82.81,84.79,86.6,87.44,89.06,90.57,91.99,93.33,94.59,95.8,96.95,98.05,99.63,108.23,120.15,130.29,137.73,148.4,156.03,180.29,198.48,257.71
95.25,3.96875,52.87,62.15,67.82,72.01,75.38,78.22,80.69,82.88,84.86,86.68,87.52,89.14,90.65,92.07,93.4,94.67,95.88,97.03,98.13,99.71,108.32,120.25,130.39,137.83,148.51,156.14,180.4,198.6,257.84
95.5,3.979166667,52.91,62.2,67.88,72.07,75.44,78.28,80.75,82.95,84.93,86.75,87.59,89.21,90.72,92.14,93.48,94.75,95.96,97.11,98.21,99.79,108.41,120.34,130.49,137.94,148.61,156.24,180.51,198.72,257.97
95.75,3.989583333,52.96,62.25,67.94,72.14,75.51,78.35,80.82,83.02,85,86.82,87.66,89.29,90.8,92.22,93.56,94.83,96.04,97.19,98.3,99.88,108.5,120.44,130.59,138.04,148.72,156.35,180.62,198.83,258.09
96,4,53,62.31,67.99,72.2,75.57,78.41,80.89,83.09,85.07,86.89,87.74,89.36,90.88,92.3,93.64,94.91,96.12,97.27,98.38,99.96,108.59,120.53,130.69,138.14,148.82,156.46,180.74,198.95,258.22
